xF,R,B,xD,QR
0.8,0.8,1.0,0.759595,-266166.0
0.8,0.8,1.33333,0.759674,-317030.0
0.8,0.8,1.66667,0.759736,-358119.0
0.8,0.8,2.0,0.7598,-392088.0
0.8,0.8,2.33333,0.75983,-420846.0
0.8,0.8,2.66667,0.75983,-420846.0
0.8,0.8,3.0,0.75983,-420846.0
0.8,1.5,1.0,0.796737,-400626.0
0.8,1.5,1.33333,0.796922,-487583.0
0.8,1.5,1.66667,0.797073,-560568.0
0.8,1.5,2.0,0.797205,-622700.0
0.8,1.5,2.33333,0.797294,-676246.0
0.8,1.5,2.66667,0.797391,-722906.0
0.8,1.5,3.0,0.797455,-763980.0
0.8,2.2,1.0,0.81349,-490528.0
0.8,2.2,1.33333,0.813747,-605829.0
0.8,2.2,1.66667,0.813965,-705275.0
0.8,2.2,2.0,0.814146,-791920.0
0.8,2.2,2.33333,0.8143,-868084.0
0.8,2.2,2.66667,0.814435,-935560.0
0.8,2.2,3.0,0.814514,-995754.0
0.8,2.9,1.0,0.822789,-554797.0
0.8,2.9,1.33333,0.823095,-692513.0
0.8,2.9,1.66667,0.823352,-813682.0
0.8,2.9,2.0,0.823575,-921104.0
0.8,2.9,2.33333,0.823764,-1020000.0
0.8,2.9,2.66667,0.823932,-1100000.0
0.8,2.9,3.0,0.82408,-1180000.0
0.8,3.6,1.0,0.82862,-603013.0
0.8,3.6,1.33333,0.82896,-758760.0
0.8,3.6,1.66667,0.82925,-897892.0
0.8,3.6,2.0,0.829499,-1020000.0
0.8,3.6,2.33333,0.829716,-1140000.0
0.8,3.6,2.66667,0.829909,-1240000.0
0.8,3.6,3.0,0.830078,-1330000.0
0.8,4.3,1.0,0.832586,-640517.0
0.8,4.3,1.33333,0.832951,-811033.0
0.8,4.3,1.66667,0.833264,-965187.0
0.8,4.3,2.0,0.833536,-1110000.0
0.8,4.3,2.33333,0.833775,-1230000.0
0.8,4.3,2.66667,0.833986,-1350000.0
0.8,4.3,3.0,0.834173,-1460000.0
0.8,5.0,1.0,0.835444,-670525.0
0.8,5.0,1.33333,0.835829,-853329.0
0.8,5.0,1.66667,0.83616,-1020000.0
0.8,5.0,2.0,0.836449,-1170000.0
0.8,5.0,2.33333,0.836706,-1310000.0
0.8,5.0,2.66667,0.836929,-1440000.0
0.8,5.0,3.0,0.837133,-1560000.0
0.95,0.8,1.0,0.946132,-213365.0
0.95,0.8,1.33333,0.946144,-254215.0
0.95,0.8,1.66667,0.946168,-287206.0
0.95,0.8,2.0,0.946205,-314409.0
0.95,0.8,2.33333,0.946256,-337223.0
0.95,0.8,2.66667,0.946317,-356632.0
0.95,0.8,3.0,0.946387,-373344.0
0.95,1.5,1.0,0.942752,-320593.0
0.95,1.5,1.33333,0.942769,-390276.0
0.95,1.5,1.66667,0.942806,-448807.0
0.95,1.5,2.0,0.942867,-498664.0
0.95,1.5,2.33333,0.94295,-541642.0
0.95,1.5,2.66667,0.943054,-579074.0
0.95,1.5,3.0,0.943174,-611968.0
0.95,2.2,1.0,0.939461,-392081.0
0.95,2.2,1.33333,0.939473,-484324.0
0.95,2.2,1.66667,0.939514,-563925.0
0.95,2.2,2.0,0.939587,-633318.0
0.95,2.2,2.33333,0.939693,-694347.0
0.95,2.2,2.66667,0.939828,-748442.0
0.95,2.2,3.0,0.939987,-796717.0
0.95,2.9,1.0,0.936339,-443147.0
0.95,2.9,1.33333,0.936335,-553214.0
0.95,2.9,1.66667,0.936367,-650095.0
0.95,2.9,2.0,0.93644,-736025.0
0.95,2.9,2.33333,0.936554,-812762.0
0.95,2.9,2.66667,0.936707,-881705.0
0.95,2.9,3.0,0.936892,-943986.0
0.95,3.6,1.0,0.93344,-481447.0
0.95,3.6,1.33333,0.933407,-605849.0
0.95,3.6,1.66667,0.933417,-717021.0
0.95,3.6,2.0,0.933476,-816948.0
0.95,3.6,2.33333,0.933586,-907268.0
0.95,3.6,2.66667,0.933742,-989298.0
0.95,3.6,3.0,0.93394,-1060000.0
0.95,4.3,1.0,0.930783,-511236.0
0.95,4.3,1.33333,0.930712,-647380.0
0.95,4.3,1.66667,0.930689,-770490.0
0.95,4.3,2.0,0.930724,-882353.0
0.95,4.3,2.33333,0.930817,-984443.0
0.95,4.3,2.66667,0.930965,-1080000.0
0.95,4.3,3.0,0.931162,-1160000.0
0.95,5.0,1.0,0.928371,-535068.0
0.95,5.0,1.33333,0.928253,-680982.0
0.95,5.0,1.66667,0.928191,-814195.0
0.95,5.0,2.0,0.928193,-936317.0
0.95,5.0,2.33333,0.928259,-1050000.0
0.95,5.0,2.66667,0.928389,-1150000.0
0.95,5.0,3.0,0.928574,-1250000.0
