R,B,xD,QR,xF,R_over_R_plus_1,R_times_xF,alpha_approx,R_min_approx,R_factor
5.0,3.0,0.81975,-1197560.0,0.5,0.8333333333333334,2.5,3.725,0.36697247706422015,13.625000000000002
0.8,1.0,0.759595,-266166.0,0.65,0.4444444444444445,0.52,3.20675,0.45315509233035006,1.7654
0.8,1.33333,0.759674,-317030.0,0.65,0.4444444444444445,0.52,3.20675,0.45315509233035006,1.7654
0.8,1.66667,0.759736,-358119.0,0.65,0.4444444444444445,0.52,3.20675,0.45315509233035006,1.7654
0.8,2.0,0.7598,-392088.0,0.65,0.4444444444444445,0.52,3.20675,0.45315509233035006,1.7654
0.8,2.33333,0.75983,-420846.0,0.65,0.4444444444444445,0.52,3.20675,0.45315509233035006,1.7654
0.8,2.66667,0.75983,-420846.0,0.65,0.4444444444444445,0.52,3.20675,0.45315509233035006,1.7654
0.8,3.0,0.75983,-420846.0,0.65,0.4444444444444445,0.52,3.20675,0.45315509233035006,1.7654
1.5,1.0,0.796737,-400626.0,0.65,0.6,0.9750000000000001,3.20675,0.45315509233035006,3.310125
1.5,1.33333,0.796922,-487583.0,0.65,0.6,0.9750000000000001,3.20675,0.45315509233035006,3.310125
1.5,1.66667,0.797073,-560568.0,0.65,0.6,0.9750000000000001,3.20675,0.45315509233035006,3.310125
1.5,2.0,0.797205,-622700.0,0.65,0.6,0.9750000000000001,3.20675,0.45315509233035006,3.310125
1.5,2.33333,0.797294,-676246.0,0.65,0.6,0.9750000000000001,3.20675,0.45315509233035006,3.310125
1.5,2.66667,0.797391,-722906.0,0.65,0.6,0.9750000000000001,3.20675,0.45315509233035006,3.310125
1.5,3.0,0.797455,-763980.0,0.65,0.6,0.9750000000000001,3.20675,0.45315509233035006,3.310125
2.2,1.0,0.81349,-490528.0,0.65,0.6875,1.4300000000000002,3.20675,0.45315509233035006,4.854850000000001
2.2,1.33333,0.813747,-605829.0,0.65,0.6875,1.4300000000000002,3.20675,0.45315509233035006,4.854850000000001
2.2,1.66667,0.813965,-705275.0,0.65,0.6875,1.4300000000000002,3.20675,0.45315509233035006,4.854850000000001
